*.*.*.*,*.*.*.*,Allow
26.180.*.*,137.66.123.250,Block
94.234.20.249,254.102.*.*,Block
208.90.55.82,1.8.131.60,Block
82.116.182.248,97.187.143.168,Block
116.38.149.*,53.169.172.244,Allow
19.123.153.165,144.84.50.248/14,Block
102.12.24.*,27.102.50.*,Block
254.174.*.*,162.*.*.*,Block
192.86.*.*,184.110.8.10,Block
196.224.244.*,215.208.1.16,Block
16.198.*.*,72.111.*.*,Block
75.168.173.*,58.71.19.255/16,Block
40.217.120.55,103.248.109.*,Block
166.145.*.*,212.230.207.*,Block
212.38.47.*,123.78.99.*,Block
*.*.*.*,175.45.109.191,Block
171.210.1.228,74.125.*.*,Block
16.66.*.*,254.235.112.150,Block
164.223.184.*,225.*.*.*,Block
117.22.140.*,32.71.0.78,Block
104.99.88.130,*.*.*.*,Block
190.*.*.*,15.196.112.*,Block
229.67.*.*,165.188.48.190,Block
195.222.233.176,186.*.*.*,Block
160.160.77.*,98.109.127.178,Block
15.93.113.92,197.221.113.143,Block
152.192.*.*,207.189.165.99,Block
212.89.161.158,28.49.172.*,Block
59.90.170.*,205.93.99.101,Block
213.77.52.205,6.*.*.*,Allow
176.65.23.217,104.238.217.177,Block
142.20.*.*,2.170.150.82,Block
48.*.*.*,163.47.250.*,Block
108.98.205.144,45.106.36.*,Allow
73.158.125.137,172.5.250.166,Block
174.223.56.241,10.*.*.*,Block
29.186.42.63,*.*.*.*,Block
55.249.146.65,4.173.176.*,Block
71.25.74.147,247.71.53.*,Block
76.*.*.*,118.204.172.*,Block
125.245.162.*,31.*.*.*,Allow
36.231.203.13,86.*.*.*,Block
84.19.*.*,184.115.131.*,Block
79.20.133.*,226.90.39.240,Block
71.165.*.*,*.*.*.*,Block
93.167.90.250,117.*.*.*,Block
10.157.5.*,59.86.143.21,Block
65.65.*.*,46.175.50.141,Block
79.*.*.*,217.143.148.119,Block
177.253.153.*,124.161.231.83,Block
52.48.*.*,212.248.129.198,Block
163.118.*.*,229.92.*.*,Allow
155.237.61.205,30.228.*.*,Block
191.*.*.*,156.255.*.*,Block
16.59.139.247,60.7.7.*,Allow
76.3.225.10,123.124.82.*,Block
227.34.248.38,68.139.70.216,Allow
111.114.175.9,209.*.*.*,Allow
201.67.18.208,229.*.*.*,Block
120.56.62.190,25.*.*.*,Allow
50.65.*.*,102.199.197.*,Block
67.46.213.213,82.190.112.166,Block
215.34.*.*,187.94.46.26,Block
96.197.*.*,186.192.125.183,Block
65.158.159.28,178.41.144.89,Block
98.142.163.101,64.118.245.*,Block
179.*.*.*,55.*.*.*,Block
103.111.251.49,67.219.227.189,Block
172.35.*.*,13.161.200.224,Block
11.133.211.61/7,33.203.45.101,Block
19.209.*.*,182.66.*.*,Block
14.64.121.48,96.*.*.*,Block
252.171.34.144,196.54.62.129,Allow
245.118.212.162,136.58.111.89,Allow
234.228.168.96,54.41.160.204,Block
106.136.19.235,116.89.167.155,Block
157.212.209.93,217.190.*.*,Block
*.*.*.*,187.115.99.*,Block
105.207.*.*,140.202.100.*,Block
64.183.52.*,177.132.129.*,Block
254.67.136.113,232.*.*.*,Block
164.121.111.32,184.141.189.*,Block
57.21.*.*,71.238.45.205,Allow
44.223.181.113,131.19.137.217,Block
126.142.75.25,95.128.*.*,Block
218.21.15.199,209.214.63.*,Block
121.104.91.233,199.35.128.36,Block
170.48.51.167,70.118.*.*,Allow
218.114.178.118,7.60.62.*,Block
18.43.31.*,253.96.144.103,Block
149.200.6.*,234.151.*.*,Allow
211.34.255.154,18.237.95.55,Block
113.105.233.*,32.54.*.*,Block
130.242.*.*,143.21.216.29,Block
176.236.213.*,221.6.*.*,Block
71.149.191.*,165.52.*.*,Block
112.75.74.*,171.3.*.*,Block
213.92.54.31,66.238.64.*,Block
9.228.38.223,39.193.131.*,Block
63.118.190.158,211.227.29.250,Block
218.221.88.96,244.13.242.*,Allow
62.115.224.*,174.67.37.65,Block
164.216.136.27,121.180.82.*,Block
12.58.*.*,128.50.170.55,Allow
73.88.238.*,68.45.127.176,Allow
63.*.*.*,146.179.163.*,Block
20.100.103.198,40.178.*.*,Block
155.205.104.*,127.27.*.*,Block
148.163.225.*,6.87.221.156,Block
56.114.10.233,29.199.98.*,Block
149.186.42.41,87.73.5.196,Block
57.25.*.*,184.168.11.76,Allow
195.37.134.*,178.121.*.*,Block
166.67.27.240,187.112.44.*,Block
