Time	Location1	Location2	Location3
0	48	99.2966479761526	2
1	51	98.7287820735946	4
2	58	98.4803262236528	4.82842712474619
3	43	97.8941490454599	5.46410161513775
4	47	96.6091435402632	6
5	47	95.207282404881	6.47213595499958
6	41	94.8696538619697	6.89897948556636
7	34	94.6514389757067	7.29150262212918
8	40	93.7297335476615	7.65685424949238
9	57	93.2440731907263	8
10	49	93.0643401481211	8.32455532033676
11	55	92.729347536806	8.6332495807108
12	49	92.2598611656576	8.92820323027551
13	44	90.5456933612004	9.21110255092798
14	48	90.3116590878926	9.48331477354788
15	54	90.0083062937483	9.74596669241483
16	48	88.7046603718773	10
17	44	88.5584153560922	10.2462112512353
18	56	87.6722914678976	10.4852813742386
19	55	86.2014657096006	10.7177978870813
20	59	86.0848637763411	10.9442719099992
21	53	85.0621689949185	11.1651513899117
22	56	84.7835438931361	11.3808315196469
23	61	84.6078609395772	11.5916630466254
24	48	83.9569338713773	11.7979589711327
25	57	81.9500129506923	12
26	44	80.3692988399416	12.1980390271856
27	57	79.6370577183552	12.3923048454133
28	40	78.0319870403036	12.5830052442584
29	38	78.0314594041556	12.770329614269
30	54	77.5486516952515	12.9544511501033
31	53	76.6770045855083	13.13552872566
32	53	75.4655433516018	13.3137084989848
33	59	74.8389224242419	13.4891252930761
34	52	74.3877160851844	13.6619037896906
35	62	74.0788562456146	13.8321595661992
36	64	72.7636795653962	14
37	43	72.5214711530134	14.1655250605964
38	59	72.1900382358581	14.328828005938
39	47	71.9422630453482	14.4899959967968
40	52	70.4766037827358	14.6491106406735
41	54	68.9882082492113	14.8062484748657
42	48	68.738007096108	14.9614813968157
43	52	68.4454067749903	15.114877048604
44	56	68.0499176005833	15.2664991614216
45	48	67.8836854686961	15.4164078649987
46	53	67.5306090712547	15.5646599662505
47	42	66.2465090421028	15.7113092008021
48	53	65.4444590047933	15.856406460551
49	49	65.3972582239658	16
50	50	64.4147459976375	16.142135623731
51	33	63.8984278030694	16.2828568570857
52	46	63.067761156708	16.422205101856
53	35	60.867193385493	16.560219778561
54	51	60.3536372538656	16.6969384566991
55	61	57.9568445426412	16.8323969741913
56	45	57.3722886387259	16.9666295470958
57	53	56.8386460375041	17.0996688705415
58	46	56.1056693317369	17.2315462117278
59	46	53.594782075379	17.3622914957372
60	43	53.5716251493432	17.4919333848297
61	46	53.2698500156403	17.6204993518133
62	50	53.2187037798576	17.7480157480236
63	50	52.9199960874394	17.8745078663875
64	55	52.1926250797696	18
65	52	51.8102254671976	18.1245154965971
66	47	51.3858586200513	18.2480768092719
67	49	50.8993669762276	18.3707055437449
68	54	49.5564826345071	18.4924225024706
69	51	49.3388983234763	18.6132477258361
70	47	47.8104388201609	18.7332005306815
71	61	46.1477933311835	18.8522995463527
72	44	45.5300545669161	18.9705627484771
73	46	45.3546663490124	19.0880074906351
74	34	44.995950141456	19.2046505340853
75	60	44.4559691101313	19.3205080756888
76	52	44.0578313893639	19.4355957741627
77	61	43.1153634283692	19.5499287747842
78	47	42.0692062284797	19.6635217326557
79	56	41.8774902517907	19.7763888346312
80	46	41.0033516120166	19.8885438199983
81	49	39.854174440261	20
82	39	39.7202827339061	20.1107702762748
83	42	38.8789863395505	20.2208671582886
84	51	38.3299278444611	20.3303027798234
85	40	37.7063891896978	20.4390889145858
86	43	37.2325435047969	20.5472369909914
87	37	36.0914007970132	20.6547581061776
88	47	35.9302301355638	20.7616630392937
89	43	35.3801276138984	20.8679622641132
90	51	35.1971351052634	20.9736659610103
91	53	33.6789971846156	21.0787840283389
92	39	33.2738703466021	21.1833260932509
93	49	33.1733462563716	21.2873015219859
94	40	31.8719268892892	21.3907194296653
95	38	31.3784540817142	21.4935886896179
96	41	31.0833088704385	21.5959179422654
97	54	30.545438725967	21.6977156035922
98	57	30.3536755498499	21.7989898732233
99	53	30.2397621585988	21.8997487421324
100	49	30.0267958943732	22
